Set,Species,Number,Mom,Neighbour,Tube,Viable_Disc_Seed_Count,Undev_Disc_Seed_Count,Viable_Ray_Seed_Count,Undev_Ray_Seed_Count,Chosen?,Hub,Plant ID,Seed Type ,Seed #
A,cal,1,1,1,1,14,1,13,1,No,,,,
A,cal,1,1,3,1,12,3,13,4,No,,,,
A,cal,1,2,1,1,65,22,15,2,No,,,,
A,cal,1,2,2,1,143,40,30,1,No,,,,
A,cal,1,2,3,1,11,12,7,0,No,,,,
A,cal,1,2,4,1,75,51,12,6,No,,,,
A,cal,1,2,5,1,6,1,8,0,No,,,,
B,cal,1,1,1,1,28,30,7,1,No,,,,
B,cal,1,1,2,1,9,0,6,0,No,,,,
B,cal,1,1,3,1,151,59,19,8,No,,,,
B,cal,1,1,4,1,64,8,8,3,No,,,,
B,cal,1,1,5,1,48,60,6,8,No,,,,
B,cal,2,1,3,1,112,5,9,0,No,,,,
B,cal,2,1,4,1,76,17,12,1,No,,,,
B,cal,2,1,5,1,36,9,7,1,No,,,,
B,cal,2,2,1,1,59,10,6,0,No,,,,
B,cal,2,2,2,1,138,10,18,0,No,,,,
B,cal,2,2,3,1,87,4,9,0,No,,,,
B,cal,2,2,5,1,66,5,8,0,No,,,,
C,cal,1,1,1,1,73,47,7,4,No,,,,
C,cal,1,1,3,1,103,10,19,0,No,,,,
C,cal,1,1,4,1,140,57,6,15,No,,,,
C,cal,1,2,3,1,24,7,6,1,No,,,,
C,cal,2,1,2,1,55,4,8,0,No,,,,
C,cal,2,1,3,1,97,40,17,0,No,,,,
C,cal,2,1,4,1,65,38,14,0,No,,,,
C,cal,2,1,5,1,12,7,8,0,No,,,,
C,cal,2,2,1,1,239,61,24,3,No,,,,
C,cal,2,2,2,1,58,21,7,1,No,,,,
C,cal,2,2,3,1,19,64,7,6,No,,,,
C,cal,2,2,5,1,42,2,10,1,No,,,,
D,cal,1,1,2,1,85,13,11,0,No,,,,
D,cal,1,2,1,1,458,22,26,5,No,,,,
D,cal,1,2,2,1,60,19,6,0,No,,,,
D,cal,1,2,3,1,392,49,6,0,No,,,,
D,cal,1,2,4,1,180,199,6,14,No,,,,
D,cal,1,2,5,1,119,4,14,0,No,,,,
E,cal,1,1,1,1,38,46,8,9,No,,,,
E,cal,1,1,2,1,106,9,17,1,No,,,,
E,cal,1,1,3,1,166,58,22,1,No,,,,
E,cal,1,1,4,1,35,21,8,2,No,,,,
E,cal,1,1,5,1,42,7,10,4,No,,,,
E,cal,1,2,1,1,65,65,10,15,No,,,,
E,cal,1,2,2,1,25,52,6,8,No,,,,
F,cal,1,1,4,1,90,13,11,0,No,,,,
F,cal,1,1,5,1,65,6,7,0,Yes,,,,
F,cal,1,2,1,1,57,2,8,0,Yes,,,,
F,cal,1,2,5,1,102,15,17,2,No,,,,
G,cal,1,1,3,1,56,36,12,2,No,,,,
G,cal,1,1,4,1,68,13,12,0,Yes,,,,
G,cal,1,1,5,1,58,14,8,1,No,,,,
G,cal,1,2,5,1,29,6,6,0,Yes,,,,
H,cal,1,1,1,1,34,6,7,0,No,,,,
H,cal,1,1,3,1,98,31,15,1,No,,,,
H,cal,1,1,5,1,95,63,12,7,No,,,,
H,cal,1,2,1,1,238,52,38,0,No,,,,
H,cal,1,2,3,1,46,9,6,1,No,,,,
H,cal,1,2,4,1,24,3,7,0,No,,,,
A,fre,1,1,2,1,119,4,14,0,No,,,,
A,fre,1,1,4,1,19,11,13,0,No,,,,
A,fre,1,1,5,1,38,0,6,0,No,,,,
A,fre,1,2,4,1,110,2,14,0,No,,,,
A,fre,1,2,5,1,33,3,7,0,No,,,,
B,fre,1,1,2,1,23,2,7,0,No,,,,
B,fre,1,1,4,1,116,3,8,0,No,,,,
B,fre,1,1,5,1,92,32,6,0,No,,,,
B,fre,1,2,2,1,174,7,9,0,No,,,,
B,fre,1,2,4,1,156,83,22,9,No,,,,
B,fre,1,2,5,1,151,8,9,0,No,,,,
