Hub,Species,Mom_ID,Full_ID,Mark_Date,Flr_ID,Spray_Date,Flr_Size_mm,N_Found_Seeds,Neighbours_Coll_Date,Pin_Date,Measure_Date,Notes
A,cal,1,Acal1,4/20/18,1,4/23/18,5,24,5/2/18,5/5/18,5/5/18,
A,cal,2,Acal2,4/20/18,1,4/23/18,6,0,5/2/18,NA,NA,
A,cal,2,Acal2,4/20/18,2,4/23/18,5.5,0,5/2/18,NA,NA,
A,fre,1,Afre1,4/20/18,1,4/23/18,4,0,5/2/18,NA,NA,
A,fre,1,Afre1,4/20/18,2,4/23/18,3.5,0,5/2/18,NA,NA,
A,fre,1,Afre1,4/20/18,3,4/23/18,2.5,0,5/2/18,NA,NA,
A,fre,2,Afre2,4/20/18,1,4/23/18,6,48,5/2/18,5/5/18,5/5/18,
A,gla,1,Agla1,4/20/18,1,4/23/18,3,3,5/2/18,5/12/18,5/12/18,
A,gla,2,Agla2,4/20/18,1,4/23/18,2,1,5/2/18,5/12/18,5/12/18,only one pin
B1,cal,1,B1cal1,4/21/18,1,4/27/18,3,0,4/29/18,NA,NA,
B1,cal,1,B1cal1,4/21/18,2,NA,NA,0,4/29/18,NA,NA,
B1,cal,2,B1cal2,4/21/18,1,4/24/18,2,0,4/29/18,NA,NA,
B1,fre,1,B1fre1,4/21/18,1,4/25/18,5.5,0,4/29/18,NA,NA,
B1,fre,2,B1fre2,4/21/18,1,4/23/18,5,15,4/29/18,5/8/18,5/8/18,
B1,gla,1,B1gla1,4/21/18,1,4/24/18,3,15,4/29/18,5/10/18,5/10/18,
B1,gla,1,B1gla1,4/21/18,2,4/24/18,3,15,4/29/18,5/10/18,5/10/18,
B1,gla,1,B1gla1,4/21/18,3,4/24/18,3,15,4/29/18,5/10/18,5/10/18,
B1,gla,2,B1gla2,4/21/18,1,4/25/18,3,0,4/29/18,NA,NA,dont trust - blew seeds out w spray gun
B1,gla,2,B1gla2,4/21/18,2,4/25/18,2.5,0,4/29/18,NA,NA,
B2,cal,1,B2cal1,4/21/18,1,4/24/18,6,0,4/29/18,NA,NA,
B2,cal,1,B2cal1,4/21/18,2,4/25/18,2.5,0,4/29/18,NA,NA,
B2,cal,2,B2cal2,4/21/18,1,4/23/18,5,7,4/29/18,5/8/18,5/8/18,
B2,fre,1,B2fre1,4/21/18,1,4/25/18,5,0,4/29/18,NA,NA,
B2,fre,2,B2fre2,4/21/18,1,4/27/18,5.5,12,4/29/18,5/11/18,5/11/18,
B2,gla,1,B2gla1,4/21/18,1,4/23/18,3,0,4/29/18,NA,NA,
B2,gla,1,B2gla1,4/21/18,2,4/23/18,2.5,0,4/29/18,NA,NA,
B2,gla,1,B2gla1,4/21/18,3,4/27/18,2,0,4/29/18,NA,NA,
B2,gla,2,B2gla2,4/21/18,1,4/27/18,3,0,4/29/18,NA,NA,
B2,gla,2,B2gla2,4/21/18,2,4/27/18,2,0,4/29/18,NA,NA,
C1,cal,1,C1cal1,4/22/18,1,4/25/18,4,10,5/1/18,5/9/18,5/9/18,
C1,cal,2,C1cal2,4/22/18,1,4/25/18,2,1,5/1/18,5/12/18,5/12/18,only one pin - data scrapped
C1,fre,1,C1fre1,4/21/18,1,4/25/18,6.5,39,5/1/18,5/7/18,5/7/18,
C1,fre,2,C1fre2,4/21/18,1,4/23/18,8,26,5/1/18,5/7/18,5/7/18,
C1,gla,1,C1gla1,4/21/18,1,4/24/18,2,8,5/1/18,5/7/18,5/7/18,
C1,gla,2,C1gla2,4/21/19,1,4/23/18,2.5,4,5/1/18,5/10/18,5/10/18,
C2,cal,1,C2cal1,4/22/18,1,4/23/18,7,0,NA,NA,NA,
C2,cal,1,C2cal1,4/22/18,2,NA,5,0,NA,NA,NA,
C2,cal,2,C2cal2,4/22/18,1,4/23/18,6.5,17,5/1/18,5/12/18,5/12/18,
C2,cal,2,C2cal2,4/22/18,2,4/25/18,5,17,5/1/18,5/12/18,5/12/18,
C2,fre,1,C2fre1,4/22/18,1,4/23/18,6.5,37,5/1/18,5/7/18,5/7/18,
C2,fre,2,C2fre2,4/22/18,1,4/24/18,3.5,0,NA,NA,NA,
C2,gla,1,C2gla1,4/21/18,1,4/23/18,2.5,0,5/1/18,NA,NA,
C2,gla,1,C2gla1,4/21/18,2,4/24/18,1.5,0,5/1/18,NA,NA,
C2,gla,2,C2gla2,4/21/18,1,4/24/18,2,0,5/1/18,NA,NA,
D,cal,1,Dcal1,4/22/18,1,4/22/18,8,0,5/1/18,NA,NA,
D,cal,1,Dcal1,4/22/18,2,4/22/18,7.5,0,5/1/18,NA,NA,
D,cal,2,Dcal2,4/22/18,1,4/23/18,7,39,5/1/18,5/12/18,5/12/18,
D,cal,2,Dcal2,4/22/18,2,4/23/18,7.5,39,5/1/18,5/12/18,5/12/18,
D,cal,2,Dcal2,4/22/18,3,4/23/18,8.5,39,5/1/18,5/12/18,5/12/18,
D,cal,2,Dcal2,4/22/18,4,4/23/18,8,39,5/1/18,5/12/18,5/12/18,
D,cal,2,Dcal2,4/22/18,5,5/1/18,6,39,5/1/18,5/12/18,5/12/18,
D,cal,2,Dcal2,4/22/18,6,5/1/18,3.5,39,5/1/18,5/12/18,5/12/18,
D,fre,1,Dfre1,4/22/18,1,4/23/18,5,19,4/29/18,5/7/18,5/7/18,
D,fre,2,Dfre2,4/22/18,1,4/23/18,9,0,4/29/18,NA,NA,
D,fre,2,Dfre2,4/22/18,2,4/23/18,9,0,4/29/18,NA,NA,
D,fre,2,Dfre2,4/22/18,3,4/27/18,8,0,4/29/18,NA,NA,
D,fre,2,Dfre2,4/22/18,4,NA,NA,0,4/29/18,NA,NA,
D,fre,2,Dfre2,4/22/18,5,NA,NA,0,4/29/18,NA,NA,
D,gla,1,Dgla1,4/22/18,1,4/22/18,3,0,5/2/18,NA,NA,
D,gla,1,Dgla1,4/22/18,2,4/22/18,2.5,0,5/2/18,NA,NA,
D,gla,2,Dgla2,4/22/18,1,4/22/18,4,0,5/2/18,NA,NA,
D,gla,2,Dgla2,4/22/18,2,4/22/18,3,0,5/2/18,NA,NA,
E,cal,1,Ecal1,4/20/18,1,4/27/18,3,0,5/1/18,NA,NA,
E,cal,2,Ecal2,4/20/18,1,4/27/18,7,0,4/29/18,NA,NA,
E,cal,2,Ecal2,4/20/18,2,NA,NA,0,4/29/18,NA,NA,
E,fre,1,Efre1,4/20/18,1,4/24/18,7,0,4/29/18,NA,NA,
E,fre,1,Efre1,4/20/18,2,NA,4.5,0,4/29/18,NA,NA,
E,fre,2,Efre2,4/20/18,1,4/23/18,7,33,4/29/18,5/9/18,5/9/18,
E,gla,1,Egla1,4/20/18,1,4/23/18,2.5,0,5/1/18,NA,NA,
E,gla,2,Egla2,4/20/18,1,4/23/18,2,0,5/1/18,NA,NA,
F,cal,1,Fcal1,4/21/18,1,4/25/18,5,14,5/1/18,5/11/18,5/11/18,
F,cal,2,Fcal2,4/21/18,1,4/25/18,4,0,5/1/18,NA,NA,
F,cal,2,Fcal2,4/21/18,2,4/25/18,3.5,0,5/1/18,NA,NA,
F,fre,1,Ffre1,4/21/18,1,4/25/18,5.5,10,5/1/18,5/7/18,5/7/18,
F,fre,2,Ffre2,4/21/18,1,4/23/18,7.5,0,5/1/18,NA,NA,
