Set,Species,Number,Mom,Neighbour,Tube,Indiv_ID,Flower_Count,Separate_Flr,Date_Collected,Diameter,Date_Measured,Measured_After_Collection,Viable_Disc_Seed_Count,Undev_Disc_Seed_Count,Viable_Ray_Seed_Count,Undev_Ray_Seed_Count,Reproductive_Biomass_mg,Seed_Biomass_mg,Inflor_Height,Branch_Lengths,Vegetative_Biomass,Empty_Flrs,Buds,Notes
A,cal,1,1,1,1,Acal111,2,no,5/2/18,NA,NA,NA,14,1,13,1,6.738,0.486,,,0.014,0,0,
A,cal,1,1,2,1,Acal112,1,no,5/2/18,5.5,5/2/18,no,47,1,3,0,9.208,6.357,,,0.005,0,0,
A,cal,1,1,3,1,Acal113,3,no,5/2/18,NA,NA,NA,12,3,13,4,8.584,NA,,,0.013,0,0,
A,cal,1,1,4,1,Acal114,2,no,5/2/18,NA,NA,NA,43,38,3,5,11.656,NA,,,0.012,0,2,
A,cal,1,1,5,1,Acal115,1,no,5/2/18,6,5/2/18,no,22,46,4,1,8.628,5.54,,,0.009,0,0,
A,cal,1,2,1,1,Acal121,2,no,5/2/18,NA,NA,NA,65,22,15,2,11.912,NA,,,0.008,0,0,
A,cal,1,2,2,1,Acal122,3,no,5/2/18,NA,NA,NA,143,40,30,1,25.059,NA,,,0.024,0,0,
A,cal,1,2,3,1,Acal123,1,no,5/2/18,3,5/2/18,no,11,12,7,0,3.399,1.959,,,need microbalance,0,0,
A,cal,1,2,4,1,Acal124,3,no,5/2/18,NA,NA,NA,75,51,12,6,22.881,NA,,,0.021,0,0,
A,cal,1,2,5,1,Acal125,1,no,5/2/18,NA,NA,NA,6,1,8,0,4.049,NA,,,0.006,0,2,
A,fre,1,1,1,1,Afre111,1,no,5/2/18,4,5/2/18,no,41,1,5,0,4.439,2.452,,,0.002,0,0,
A,fre,1,1,2,1,Afre112,2,no,5/2/18,7.5,5/2/18,no,119,4,14,0,15.568,8.162,,,0.014,0,0,8 seeds on 2nd head - take out of count before recording.
A,fre,1,1,3,1,Afre113,1,no,5/2/18,NA,NA,NA,4,0,1,1,0.259,NA,,,need microbalance,0,0,
A,fre,1,1,4,1,Afre114,2,no,5/2/18,3,5/2/18,no,19,11,13,0,3.505,1.523,,,need microbalance,0,0,7 seeds on 2nd head - take out of count before recording
A,fre,1,1,5,1,Afre115,1,no,5/2/18,2.5,5/2/18,no,38,0,6,0,4.703,3.178,,,need microbalance,0,0,
A,fre,1,2,1,1,Afre121,1,no,5/2/18,NA,NA,NA,7,2,3,2,1.445,NA,,,need microbalance,0,0,
A,fre,1,2,2,1,Afre122,1,no,5/2/18,3,5/2/18,no,15,7,5,1,3.206,1.791,,,need microbalance,0,0,
A,fre,1,2,3,1,Afre123,1,no,5/2/18,2,5/2/18,no,5,1,3,0,0.768,0.416,NA,NA,NA,NA,NA,Empty envelope 
A,fre,1,2,4,1,Afre124,2,no,5/2/18,6,5/2/18,no,110,2,14,0,15.323,7.895,,,0.025,0,0,8 seeds on 2nd head - take out of count before recording
A,fre,1,2,5,1,Afre125,1,no,5/2/18,4,5/2/18,no,33,3,7,0,6.167,3.66,,,0.01,0,0,
A,gla,1,1,1,1,Agla111,2,no,5/2/18,2,5/2/18,no,13,0,0,0,2.427,1.364,,,0.009,1,0,1 seed on 2nd head
A,gla,1,1,2,1,Agla112,1,yes,5/2/18,1.5,5/2/18,no,0,6,0,0,0.835,0.343,,,0.003,0,0,
A,gla,1,1,2,2,Agla112,2,yes,5/2/18,NA,NA,NA,0,0,0,0,0.554,NA,,,NA,2,0,
A,gla,1,1,3,1,Agla113,1,no,5/2/18,2,5/2/18,no,11,4,0,0,2.421,1.951,,,need microbalance,0,0,
A,gla,1,1,4,1,Agla114,1,yes,5/2/18,2,5/2/18,no,6,0,0,0,1.075,0.62,,,0.003,0,0,
A,gla,1,1,4,2,Agla114,1,yes,5/2/18,NA,NA,NA,2,4,0,0,0.572,NA,,,NA,0,0,
A,gla,1,1,5,1,Agla115,2,no,5/2/18,NA,NA,NA,0,1,0,0,1.281,NA,,,0.005,1,0,
A,gla,1,2,1,1,Agla121,1,no,5/2/18,NA,NA,NA,0,0,0,0,0.568,NA,,,0.004,1,0,
A,gla,1,2,2,1,Agla122,1,yes,5/3/18,2.5,5/2/18,no,17,0,0,0,3.073,2.599,,,0.008,0,0,
A,gla,1,2,2,2,Agla122,2,yes,5/3/18,NA,NA,NA,6,0,0,0,0.572,NA,,,NA,1,0,
A,gla,1,2,3,1,Agla123,2,no,5/4/18,NA,NA,NA,15,0,0,0,4.306,NA,,,0.006,1,0,
A,gla,1,2,4,1,Agla124,2,no,5/5/18,1.5,5/2/18,no,0,9,0,0,0.933,0.277,,,need microbalance,1,0,
A,gla,1,2,5,1,Agla125,2,no,5/6/18,NA,NA,NA,12,1,0,0,2.662,NA,,,need microbalance,0,0,
B,cal,1,1,1,1,Bcal111,1,no,4/29/18,4,4/30/18,yes,28,30,7,1,5.891,4.365,,,0.004,0,0,
B,cal,1,1,2,1,Bcal112,1,no,4/29/18,2,4/30/18,yes,9,0,6,0,0.994,0.667,,,need microbalance,0,0,
B,cal,1,1,3,1,Bcal113,3,no,4/29/18,NA,NA,NA,151,59,19,8,35.505,NA,,,0.045,0,1,
B,cal,1,1,4,1,Bcal114,1,no,4/29/18,5.5,4/30/18,yes,64,8,8,3,14.012,10.261,,,0.014,0,0,
B,cal,1,1,5,1,Bcal115,2,no,4/29/18,NA,NA,NA,48,60,6,8,12.274,NA,,,0.018,0,0,
B,cal,1,2,1,1,Bcal121,1,no,4/29/18,2,4/30/18,yes,2,4,5,2,1.326,0.882,,,0.002,0,0,
B,cal,1,2,2,1,Bcal122,1,no,4/29/18,NA,NA,NA,6,0,4,0,1.283,NA,,,0.003,0,0,
B,cal,1,2,3,1,Bcal123,1,no,4/29/18,NA,NA,NA,0,2,0,4,0.449,NA,,,need microbalance,0,0,
B,cal,1,2,4,1,Bcal124,1,no,4/29/18,2.5,4/30/18,yes,3,7,4,1,1.294,0.826,,,need microbalance,0,0,
B,cal,1,2,5,1,Bcal125,1,no,4/29/18,1,4/30/18,yes,0,3,0,3,0.348,0.218,,,need microbalance,0,0,
B,fre,1,1,1,1,Bfre111,1,no,4/29/18,4,4/30/18,yes,21,20,5,0,3.544,2.426,,,0.005,0,0,
B,fre,1,1,2,1,Bfre112,1,no,4/29/18,3,4/30/18,yes,23,2,7,0,2.963,2.286,,,0.003,0,0,
B,fre,1,1,3,1,Bfre113,1,no,4/29/18,NA,NA,NA,19,3,4,1,3.843,NA,,,0.002,0,0,
