Set,Species,Mom_ID,Pin_Num,Quadrant,Distance,Date
A,cal,1,1,1,7.4,5/5/18
A,cal,1,2,1,11.6,5/5/18
A,cal,1,3,1,6.9,5/5/18
A,cal,1,4,1,9.7,5/5/18
A,cal,1,5,1,12.4,5/5/18
A,cal,1,6,1,11.6,5/5/18
A,cal,1,7,1,7.8,5/5/18
A,cal,1,8,2,5.4,5/5/18
A,cal,1,9,1,9.6,5/5/18
A,cal,1,10,1,11.3,5/5/18
A,cal,1,11,1,12,5/5/18
A,cal,1,12,1,11.2,5/5/18
A,cal,1,13,1,12.2,5/5/18
A,cal,1,14,1,18,5/5/18
A,cal,1,15,1,11.2,5/5/18
A,cal,1,16,2,10.2,5/5/18
A,cal,1,17,2,9,5/5/18
A,cal,1,18,2,8.2,5/5/18
A,cal,1,19,2,10.55,5/5/18
A,cal,1,20,2,17.6,5/5/18
A,cal,1,21,2,17.8,5/5/18
A,cal,1,22,2,18.9,5/5/18
A,cal,1,23,2,25.2,5/5/18
A,cal,1,24,1,15.1,5/5/18
A,cal,2,NA,NA,NA,NA
A,fre,1,NA,NA,NA,NA
A,fre,2,1,1,0.9,5/5/18
A,fre,2,2,2,1.4,5/5/18
A,fre,2,3,4,1.1,5/5/18
A,fre,2,4,2,2.25,5/5/18
A,fre,2,5,2,2.2,5/5/18
A,fre,2,6,1,5.2,5/5/18
A,fre,2,7,2,3.45,5/5/18
A,fre,2,8,1,7.75,5/5/18
A,fre,2,9,1,3.4,5/5/18
A,fre,2,10,1,5.3,5/5/18
A,fre,2,11,2,5.6,5/5/18
A,fre,2,12,2,5.8,5/5/18
A,fre,2,13,2,6.6,5/5/18
A,fre,2,14,2,4.6,5/5/18
A,fre,2,15,2,4.45,5/5/18
A,fre,2,16,2,4.4,5/5/18
A,fre,2,17,2,8.9,5/5/18
A,fre,2,18,2,6.6,5/5/18
A,fre,2,19,2,3.75,5/5/18
A,fre,2,20,2,7.95,5/5/18
A,fre,2,21,3,3.75,5/5/18
A,fre,2,22,3,7.95,5/5/18
A,fre,2,23,3,2.45,5/5/18
A,fre,2,24,3,1.75,5/5/18
A,fre,2,25,3,2.1,5/5/18
A,fre,2,26,3,2.85,5/5/18
A,fre,2,27,3,3.15,5/5/18
A,fre,2,28,3,3.6,5/5/18
A,fre,2,29,3,3,5/5/18
A,fre,2,30,3,3.7,5/5/18
A,fre,2,31,3,2.6,5/5/18
A,fre,2,32,3,3.05,5/5/18
A,fre,2,33,3,2.3,5/5/18
A,fre,2,34,3,4.4,5/5/18
A,fre,2,35,3,3.9,5/5/18
A,fre,2,36,3,2.85,5/5/18
A,fre,2,37,4,6.5,5/5/18
A,fre,2,38,4,4.6,5/5/18
A,fre,2,39,4,3.45,5/5/18
A,fre,2,40,4,2.35,5/5/18
A,fre,2,41,4,1.9,5/5/18
A,fre,2,42,4,3.3,5/5/18
A,fre,2,43,4,6.1,5/5/18
A,fre,2,44,4,7.75,5/5/18
A,fre,2,45,4,6.25,5/5/18
A,fre,2,46,4,3.9,5/5/18
A,fre,2,47,4,4.9,5/5/18
A,fre,2,48,4,5.85,5/5/18
A,gla,1,1,4,7.2,5/12/18
A,gla,1,2,4,5.7,5/12/18
A,gla,1,3,4,9.5,5/12/18
A,gla,2,1,3,2.35,5/12/18
B1,cal,2,NA,NA,NA,NA
B1,fre,2,1,1,1.8,5/8/18
B1,fre,2,2,2,2.9,5/8/18
B1,fre,2,3,4,5.95,5/8/18
B1,fre,2,4,4,10.95,5/8/18
B1,fre,2,5,4,6.95,5/8/18
B1,fre,2,6,4,7,5/8/18
B1,fre,2,7,4,4.65,5/8/18
B1,fre,2,8,4,4.1,5/8/18
B1,fre,2,9,4,5.6,5/8/18
B1,fre,2,10,4,6.35,5/8/18
B1,fre,2,11,4,5.1,5/8/18
B1,fre,2,12,4,5.25,5/8/18
B1,fre,2,13,4,4.85,5/8/18
B1,fre,2,14,4,6.55,5/8/18
B1,fre,2,15,3,4.85,5/8/18
B1,gla,1,1,1,7.5,5/10/18
B1,gla,1,2,1,10.65,5/10/18
B1,gla,1,3,1,15.7,5/10/18
B1,gla,1,4,1,3.5,5/10/18
B1,gla,1,5,1,10.8,5/10/18
B1,gla,1,6,1,9.5,5/10/18
B1,gla,1,7,1,15,5/10/18
B1,gla,1,8,1,12.35,5/10/18
B1,gla,1,9,1,12.7,5/10/18
B1,gla,1,10,2,3.2,5/10/18
B1,gla,1,11,1,10.45,5/10/18
B1,gla,1,12,1,18.25,5/10/18
B1,gla,1,13,1,15.4,5/10/18
B1,gla,1,14,1,15.6,5/10/18
B1,gla,1,15,2,15.4,5/10/18
B1,gla,2,NA,NA,NA,NA
B2,cal,2,1,2,9.2,5/8/18
B2,cal,2,2,2,9.9,5/8/18
B2,cal,2,3,2,10.05,5/8/18
B2,cal,2,4,2,7.7,5/8/18
B2,cal,2,5,1,13,5/8/18
B2,cal,2,6,1,10,5/8/18
B2,cal,2,7,1,12.75,5/8/18
B2,fre,1,NA,NA,NA,NA
B2,fre,2,1,3,3.45,5/11/18
B2,fre,2,2,3,6.45,5/11/18
B2,fre,2,3,3,7.45,5/11/18
B2,fre,2,4,3,10.85,5/11/18
B2,fre,2,5,3,10.85,5/11/18
B2,fre,2,6,3,11.8,5/11/18
B2,fre,2,7,3,7.25,5/11/18
B2,fre,2,8,3,13.15,5/11/18
B2,fre,2,9,3,8.75,5/11/18
B2,fre,2,10,3,10.45,5/11/18
B2,fre,2,11,4,12.25,5/11/18
B2,fre,2,12,3,14.25,5/11/18
B2,gla,1,NA,NA,NA,NA
B2,gla,2,NA,NA,NA,NA
C1,cal,1,1,1,3.75,5/9/18
C1,cal,1,2,1,8.7,5/9/18
C1,cal,1,3,1,9,5/9/18
C1,cal,1,4,1,8.85,5/9/18
C1,cal,1,5,1,8.75,5/9/18
C1,cal,1,6,1,7.45,5/9/18
C1,cal,1,7,1,10.8,5/9/18
C1,cal,1,8,1,12.55,5/9/18
C1,cal,1,9,1,12.85,5/9/18
C1,cal,1,10,1,13.1,5/9/18
C1,cal,2,NA,NA,NA,NA
C1,fre,1,1,1,22.1,5/7/18
C1,fre,1,2,1,22,5/7/18
C1,fre,1,3,1,2.85,5/7/18
C1,fre,1,4,1,14.2,5/7/18
C1,fre,1,5,1,13.25,5/7/18
C1,fre,1,6,1,11.5,5/7/18
C1,fre,1,7,1,8.95,5/7/18
C1,fre,1,8,1,18.2,5/7/18
C1,fre,1,9,1,6.75,5/7/18
C1,fre,1,10,1,9.55,5/7/18
C1,fre,1,11,1,4.35,5/7/18
C1,fre,1,12,1,5,5/7/18
C1,fre,1,13,1,7.3,5/7/18
C1,fre,1,14,1,9.75,5/7/18
C1,fre,1,15,1,6.45,5/7/18
C1,fre,1,16,1,7,5/7/18
C1,fre,1,17,1,10.75,5/7/18
C1,fre,1,18,1,9.35,5/7/18
C1,fre,1,19,3,9.2,5/7/18
C1,fre,1,20,1,10.5,5/7/18
C1,fre,1,21,1,12.35,5/7/18
C1,fre,1,22,1,14.85,5/7/18
C1,fre,1,23,1,17.4,5/7/18
C1,fre,1,24,1,14,5/7/18
C1,fre,1,25,1,16.9,5/7/18
C1,fre,1,26,1,15.5,5/7/18
C1,fre,1,27,1,11.05,5/7/18
C1,fre,1,28,1,9.45,5/7/18
C1,fre,1,29,1,15.2,5/7/18
C1,fre,1,30,2,15.4,5/7/18
C1,fre,1,31,2,11.3,5/7/18
C1,fre,1,32,2,11.2,5/7/18
